"disease","subregion","activity_type","mean_value","lower_95","upper_95","median_value"
"Rubella","Latin America and the Caribbean","campaign",0.183598,0.048782,0.428281,0.162849
"Rubella","Latin America and the Caribbean","routine",0.108242,0.055362,0.194467,0.104351
"Rubella","Oceania","campaign",0.479758,0.072808,1.517148,0.389587
"Rubella","Oceania","routine",0.192399,0.029046,0.478353,0.164472
"Typhoid","Middle Africa","campaign",2.389379,0.143452,9.137557,1.815974
"Typhoid","Middle Africa","routine",3.294165,0.401328,19.482051,1.828097
"Typhoid","Northern Africa and Western Asia","campaign",0.541983,0.004957,1.573887,0.411406
"Typhoid","Northern Africa and Western Asia","routine",1.447326,-1.220808,12.023832,0.577946
"Typhoid","Eastern Africa","campaign",0.82079,0.27819,2.264856,0.689945
"Typhoid","Eastern Africa","routine",1.732721,0.227209,7.151047,1.111969
"Typhoid","Western Africa","campaign",1.300655,0.441847,2.920616,1.18007
"Typhoid","Western Africa","routine",2.063922,0.550925,6.638187,1.507888
"Typhoid","Southern Africa","campaign",0.278975,0.003177,0.974135,0.170765
"Typhoid","Southern Africa","routine",0.853355,0.006366,4.593845,0.280462
"Typhoid","Central and Southern Asia","campaign",0.13409,0.013312,0.363762,0.115692
"Typhoid","Central and Southern Asia","routine",0.17457,0.013112,0.664267,0.122224
"Typhoid","Eastern and South-Eastern Asia","campaign",0.140285,0.021273,0.4517,0.115957
"Typhoid","Eastern and South-Eastern Asia","routine",0.314147,-0.010166,2.087733,0.133486
"Typhoid","Eastern and Southern Europe","campaign",0.016833,0,0.128683,0
"Typhoid","Eastern and Southern Europe","routine",0.034561,0,0.113497,0
"Typhoid","Latin America and the Caribbean","campaign",0.179648,0.03384,0.453051,0.156916
"Typhoid","Latin America and the Caribbean","routine",0.327216,-0.00335,1.615083,0.184517
"Typhoid","Oceania","campaign",7.199263,0.038816,35.569143,1.78218
"Typhoid","Oceania","routine",4.185664,-1.202544,17.93384,2.101643
"YF","Middle Africa","campaign",0.354612,0.095458,0.777171,0.332605
"YF","Middle Africa","routine",7.620425,0.669947,23.191947,6.367094
"YF","Northern Africa and Western Asia","campaign",1.155882,0.041867,4.445456,0.667312
"YF","Northern Africa and Western Asia","routine",7.910338,0.088586,36.494855,1.882679
"YF","Eastern Africa","campaign",0.16636,0.020498,0.45281,0.14088
"YF","Eastern Africa","routine",2.990842,0.658818,6.914232,2.664246
"YF","Western Africa","campaign",0.513237,0.209689,1.149464,0.456594
"YF","Western Africa","routine",7.214375,2.222624,17.50103,6.227246
"YF","Latin America and the Caribbean","campaign",0.897393,0.11533,2.949887,0.643253
"YF","Latin America and the Caribbean","routine",2.561171,0.624087,6.329438,2.269215
