"disease","subregion","activity_type","mean_value","lower_95","upper_95","median_value"
"PCV","Eastern and Southern Europe","routine",12.234416,-19.928036,47.084419,10.425862
"PCV","Latin America and the Caribbean","routine",58.900227,29.400262,97.644425,57.405764
"PCV","Oceania","routine",82.181549,-86.215588,305.842288,69.502393
"Rota","Middle Africa","routine",133.003546,-33.283376,310.527111,133.287331
"Rota","Northern Africa and Western Asia","routine",47.850328,10.543475,100.749013,45.070672
"Rota","Eastern Africa","routine",51.863621,16.804435,89.239235,51.442748
"Rota","Western Africa","routine",101.534747,-141.96627,240.625262,96.362326
"Rota","Southern Africa","routine",28.457926,-11.842932,56.126266,24.245537
"Rota","Central and Southern Asia","routine",33.269372,-44.650535,126.830685,29.46201
"Rota","Eastern and South-Eastern Asia","routine",18.697585,-32.663055,106.058737,11.870231
"Rota","Eastern and Southern Europe","routine",1.641446,-12.238917,14.764626,1.677862
"Rota","Latin America and the Caribbean","routine",23.898538,12.985507,40.602524,22.918593
"Rota","Oceania","routine",56.107382,-243.484522,336.980867,57.722634
"Rubella","Middle Africa","campaign",4.385048,-13.820775,46.579081,-0.634065
"Rubella","Middle Africa","routine",56.070898,7.205063,133.984611,50.95896
"Rubella","Northern Africa and Western Asia","campaign",4.297331,-4.737533,14.124112,4.040777
"Rubella","Northern Africa and Western Asia","routine",20.725978,8.055194,38.091899,20.148448
"Rubella","Eastern Africa","campaign",12.942961,-5.586648,45.680702,10.462194
"Rubella","Eastern Africa","routine",33.900582,18.201684,62.030102,31.681447
"Rubella","Western Africa","campaign",15.334542,-5.999145,81.217657,7.457735
"Rubella","Western Africa","routine",57.962088,19.302431,121.342947,53.997333
"Rubella","Southern Africa","campaign",-5.951954,-50.16297,32.969946,-4.6852
"Rubella","Southern Africa","routine",24.818306,5.545666,48.713046,23.14951
"Rubella","Central and Southern Asia","campaign",10.152831,-1.675272,36.693166,6.489031
"Rubella","Central and Southern Asia","routine",27.212758,10.723549,56.285557,22.009396
"Rubella","Eastern and South-Eastern Asia","campaign",17.236856,1.685354,45.564298,15.381006
"Rubella","Eastern and South-Eastern Asia","routine",5.713179,3.03784,8.586631,5.732195
"Rubella","Eastern and Southern Europe","campaign",7.349038,-5.475941,30.602744,5.483785
"Rubella","Eastern and Southern Europe","routine",13.571388,4.805212,30.407603,11.516524
"Rubella","Latin America and the Caribbean","campaign",13.596295,2.490996,29.36256,12.544281
"Rubella","Latin America and the Caribbean","routine",6.416642,3.110924,11.968937,6.04223
"Rubella","Oceania","campaign",38.85164,4.624727,108.017204,28.032182
"Rubella","Oceania","routine",12.932904,2.068252,27.319805,11.939422
