"disease","subregion","activity_type","mean_value","lower_95","upper_95","median_value"
"Malaria","Eastern Africa","routine",2.242506,1.332792,3.193588,2.246617
"Malaria","Western Africa","routine",2.970028,2.173547,3.891242,2.948116
"Measles","Middle Africa","campaign",3.391429,2.572576,4.220046,3.366697
"Measles","Middle Africa","routine",25.335763,17.75175,33.848831,25.43163
"Measles","Northern Africa and Western Asia","campaign",0.466637,0.256662,0.759477,0.447694
"Measles","Northern Africa and Western Asia","routine",8.489631,5.350109,11.864699,8.450994
"Measles","Eastern Africa","campaign",1.989081,1.385301,2.671036,1.897727
"Measles","Eastern Africa","routine",14.482479,10.254323,19.207493,14.396014
"Measles","Western Africa","campaign",2.491479,1.748856,3.328874,2.435677
"Measles","Western Africa","routine",25.600693,17.645948,34.053778,25.542539
"Measles","Southern Africa","campaign",0.274603,0.037377,0.606287,0.259935
"Measles","Southern Africa","routine",6.536225,2.430214,11.986445,7.487708
"Measles","Central and Southern Asia","campaign",0.735268,0.495428,1.042364,0.730003
"Measles","Central and Southern Asia","routine",10.90684,7.333618,15.354643,10.749048
"Measles","Eastern and South-Eastern Asia","campaign",0.251065,0.126812,0.412671,0.245105
"Measles","Eastern and South-Eastern Asia","routine",5.429317,2.730854,8.700577,5.335535
"Measles","Eastern and Southern Europe","campaign",0.07251,-0.215469,0.396846,0.069007
"Measles","Eastern and Southern Europe","routine",3.001792,1.688332,4.512973,2.92328
"Measles","Latin America and the Caribbean","campaign",0.44467,0.213213,0.73135,0.437003
"Measles","Latin America and the Caribbean","routine",10.755005,6.635014,14.897989,10.73671
"Measles","Oceania","campaign",1.910195,1.180988,3.062604,1.577326
"Measles","Oceania","routine",12.989463,6.331126,23.58168,8.254273
"MenA","Middle Africa","campaign",0.484083,0.366842,0.6289,0.478841
"MenA","Middle Africa","routine",0.622194,0.365093,0.920705,0.609911
"MenA","Northern Africa and Western Asia","campaign",0.716568,0.512717,0.928624,0.721232
"MenA","Northern Africa and Western Asia","routine",0.322026,0.12887,0.496277,0.333652
"MenA","Eastern Africa","campaign",0.436432,0.326228,0.559408,0.439559
"MenA","Eastern Africa","routine",1.508254,0.768621,2.189156,1.526815
"MenA","Western Africa","campaign",0.674159,0.554916,0.777787,0.678192
"MenA","Western Africa","routine",0.303663,0.183397,0.407404,0.307819
"MenACWYX","Middle Africa","campaign",0.879736,0.503713,1.287993,0.871889
"MenACWYX","Middle Africa","routine",0.731509,0.47649,0.979999,0.735414
"MenACWYX","Northern Africa and Western Asia","campaign",0.923986,0.265877,1.545885,0.933434
"MenACWYX","Northern Africa and Western Asia","routine",0.644283,0.317312,0.951918,0.674933
"MenACWYX","Eastern Africa","campaign",0.858502,0.380534,1.285665,0.855052
"MenACWYX","Eastern Africa","routine",0.71531,0.440699,0.970764,0.730277
"MenACWYX","Western Africa","campaign",0.845836,0.508379,1.230135,0.83644
"MenACWYX","Western Africa","routine",0.575964,0.394707,0.759394,0.583311
"PCV","Middle Africa","routine",3.683496,0.660603,8.628252,3.267141
"PCV","Northern Africa and Western Asia","routine",1.284826,0.451509,2.479194,1.189231
"PCV","Eastern Africa","routine",1.819732,0.790965,3.28486,1.724739
"PCV","Western Africa","routine",2.550048,0.183756,6.315273,2.206906
"PCV","Southern Africa","routine",0.735127,-0.117598,1.969034,0.717535
"PCV","Central and Southern Asia","routine",1.158378,-0.824503,3.855175,0.970024
"PCV","Eastern and South-Eastern Asia","routine",0.646514,-0.547263,2.535669,0.480524
"PCV","Eastern and Southern Europe","routine",0.146126,-0.319358,0.62716,0.124918
"PCV","Latin America and the Caribbean","routine",0.770612,0.356878,1.322518,0.748138
"PCV","Oceania","routine",1.18702,-1.44566,4.636866,1.001262
"Rota","Middle Africa","routine",2.517805,-0.426904,5.407467,2.575591
"Rota","Northern Africa and Western Asia","routine",0.719219,0.163194,1.451102,0.674756
"Rota","Eastern Africa","routine",0.878939,0.304479,1.470284,0.878951
"Rota","Western Africa","routine",2.188972,-2.59366,4.882058,1.92183
"Rota","Southern Africa","routine",0.458003,-0.202765,0.882456,0.417333
"Rota","Central and Southern Asia","routine",0.500106,-0.659739,1.872748,0.438469
"Rota","Eastern and South-Eastern Asia","routine",0.251452,-0.439744,1.383834,0.171523
"Rota","Eastern and Southern Europe","routine",0.014933,-0.177495,0.203458,0.014344
"Rota","Latin America and the Caribbean","routine",0.339964,0.188894,0.580202,0.325196
"Rota","Oceania","routine",1.156272,-3.793962,5.244751,0.879164
"Rubella","Middle Africa","campaign",0.041619,-0.182519,0.595563,-0.013149
"Rubella","Middle Africa","routine",0.690154,0.1063,1.752589,0.611695
"Rubella","Northern Africa and Western Asia","campaign",0.047505,-0.059575,0.175224,0.040042
"Rubella","Northern Africa and Western Asia","routine",0.268484,0.124943,0.474506,0.257667
"Rubella","Eastern Africa","campaign",0.149948,-0.078237,0.608475,0.10687
"Rubella","Eastern Africa","routine",0.445859,0.253162,0.801843,0.424102
"Rubella","Western Africa","campaign",0.167088,-0.08144,1.002778,0.069282
"Rubella","Western Africa","routine",0.72295,0.247767,1.536679,0.675748
"Rubella","Southern Africa","campaign",-0.114946,-1.040295,0.697829,-0.067022
"Rubella","Southern Africa","routine",0.371846,0.054737,0.812831,0.35202
"Rubella","Central and Southern Asia","campaign",0.131742,-0.007154,0.430685,0.096474
"Rubella","Central and Southern Asia","routine",0.360893,0.135194,0.70662,0.331642
"Rubella","Eastern and South-Eastern Asia","campaign",0.202745,0.022109,0.599732,0.170081
"Rubella","Eastern and South-Eastern Asia","routine",0.098699,0.042766,0.164371,0.095084
"Rubella","Eastern and Southern Europe","campaign",0.079615,-0.132454,0.377188,0.060842
"Rubella","Eastern and Southern Europe","routine",0.2034,0.075263,0.426755,0.191843
"Rubella","Latin America and the Caribbean","campaign",0.183986,0.042715,0.425016,0.165531
"Rubella","Latin America and the Caribbean","routine",0.106921,0.055798,0.187067,0.103176
"Rubella","Oceania","campaign",0.484553,0.049125,1.525051,0.388863
"Rubella","Oceania","routine",0.189845,0.03187,0.467233,0.163361
"Typhoid","Middle Africa","campaign",2.257245,0.156817,7.317947,1.792939
"Typhoid","Middle Africa","routine",3.632792,0.389098,21.232402,1.823224
"Typhoid","Northern Africa and Western Asia","campaign",0.537404,0.009264,1.490018,0.463441
"Typhoid","Northern Africa and Western Asia","routine",1.593302,-0.795535,13.111961,0.585909
"Typhoid","Eastern Africa","campaign",0.806746,0.258598,2.397911,0.668449
"Typhoid","Eastern Africa","routine",1.956089,0.241382,8.645569,1.127979
"Typhoid","Western Africa","campaign",1.284352,0.468438,3.102569,1.160625
"Typhoid","Western Africa","routine",1.983509,0.557943,6.214466,1.471979
"Typhoid","Southern Africa","campaign",0.322127,0.005713,1.176908,0.191762
"Typhoid","Southern Africa","routine",0.741467,0.00367,3.914232,0.269822
"Typhoid","Central and Southern Asia","campaign",0.134263,0.012234,0.37441,0.112853
"Typhoid","Central and Southern Asia","routine",0.178603,0.001662,0.828599,0.125363
"Typhoid","Eastern and South-Eastern Asia","campaign",0.136197,0.017726,0.445712,0.111105
"Typhoid","Eastern and South-Eastern Asia","routine",0.317279,0.012553,1.968548,0.133387
"Typhoid","Eastern and Southern Europe","campaign",0.017415,0,0.127702,0.00017
"Typhoid","Eastern and Southern Europe","routine",0.053974,0,0.121271,4e-06
"Typhoid","Latin America and the Caribbean","campaign",0.184635,0.030533,0.446711,0.156401
"Typhoid","Latin America and the Caribbean","routine",0.33822,0.023445,1.651454,0.181748
"Typhoid","Oceania","campaign",7.795131,0.02952,37.238964,1.589079
"Typhoid","Oceania","routine",3.834081,-0.735553,17.332103,1.950321
"YF","Middle Africa","campaign",0.362146,0.099739,0.821616,0.342002
"YF","Middle Africa","routine",7.43629,0.632863,22.915505,5.940698
"YF","Northern Africa and Western Asia","campaign",1.186112,0.043372,4.112902,0.733927
"YF","Northern Africa and Western Asia","routine",8.284124,0.088469,34.766948,3.341268
"YF","Eastern Africa","campaign",0.17009,0.022637,0.503723,0.142526
"YF","Eastern Africa","routine",2.884516,0.694967,7.116276,2.467263
"YF","Western Africa","campaign",0.511388,0.216965,1.11169,0.467918
"YF","Western Africa","routine",7.270363,2.174242,17.933671,6.176952
"YF","Latin America and the Caribbean","campaign",0.858975,0.121863,2.71287,0.585603
"YF","Latin America and the Caribbean","routine",2.654207,0.677365,6.358366,2.383447
