"disease","subregion","mean_value","lower_95","upper_95","median_value"
"Typhoid","Western Africa",1.47254,0.779741,2.594672,1.389428
"Typhoid","Southern Africa",0.377005,0.049825,1.248433,0.287881
"Typhoid","Central and Southern Asia",0.146093,0.043585,0.31018,0.134034
"Typhoid","Eastern and South-Eastern Asia",0.165142,0.049811,0.496993,0.137154
"Typhoid","Eastern and Southern Europe",0.021276,0,0.153839,0.003507
"Typhoid","Latin America and the Caribbean",0.19779,0.073951,0.414927,0.180657
"Typhoid","Oceania",6.556703,0.226474,22.663209,4.654162
"YF","Middle Africa",2.405484,0.505246,5.303744,2.251225
"YF","Northern Africa and Western Asia",2.143523,0.170987,5.678433,1.902257
"YF","Eastern Africa",0.435571,0.19973,0.797371,0.40836
"YF","Western Africa",2.520921,1.128092,4.718217,2.364805
"YF","Latin America and the Caribbean",2.341128,0.901731,4.752305,2.198957
